USER_ID#49969471
4-7-2020,14-50-20.5,T2,25.023,
4-7-2020,14-50-21.198825,M1,1.0,
4-7-2020,14-50-22.140297,M4,1.0,
4-7-2020,14-50-22.519593,M5,0.0,
4-7-2020,14-52-55.489000000000004,T6,26.5794,
4-7-2020,14-53-33.269499999999994,T1,19.3328,
4-7-2020,14-53-36.593469999999996,M6,0.0,
4-7-2020,15-3-45.33000000000004,T2,26.4439,
4-7-2020,15-3-49.06138600000004,D2,0.0,
4-7-2020,15-3-50.32156800000004,D2,1.0,
4-7-2020,15-3-57.94338800000004,T2,26.9234,
4-7-2020,15-4-3.88912,M4,1.0,
4-7-2020,15-4-12.13618,T1,25.4821,
4-7-2020,15-4-23.07168,M3,0.0,
4-7-2020,15-4-24.88657,T6,28.8957,
4-7-2020,15-4-28.463535,D2,0.0,
4-7-2020,15-4-28.849011,D2,1.0,
4-7-2020,15-4-31.140093,D1,1.0,
4-7-2020,15-4-31.753535,M6,0.0,
4-7-2020,15-4-32.346671,M9,0.0,
4-7-2020,15-4-36.725799,D2,0.0,
4-7-2020,15-4-42.367267,D2,0.0,
4-7-2020,15-4-43.184863,T2,29.9404,
4-7-2020,15-4-44.600723,M8,1.0,
4-7-2020,15-6-8.739999999999995,T2,25.319,
4-7-2020,15-16-19.739000000000033,T5,23.0726,
4-7-2020,15-16-47.016500000000036,M10,1.0,
4-7-2020,15-16-48.520530000000036,M9,0.0,
4-7-2020,15-16-48.91655700000003,M1,1.0,
4-7-2020,15-19-44.792,T6,25.0654,
4-7-2020,15-19-45.412624,M3,1.0,
4-7-2020,15-19-47.144164,M5,1.0,
4-7-2020,15-23-12.967000000000013,T8,26.2024,
4-7-2020,15-23-23.261500000000012,T1,28.1788,
4-7-2020,15-23-25.07798000000001,M5,1.0,
4-7-2020,15-27-15.228000000000009,T10,23.9629,
4-7-2020,15-27-16.10688200000001,D1,1.0,
4-7-2020,15-27-19.74137200000001,M9,1.0,
4-7-2020,15-27-23.28892200000001,M6,1.0,
4-7-2020,16-9-3.0900000000001455,T1,23.0099,
4-7-2020,16-9-3.9449870000001455,M7,1.0,
4-7-2020,16-9-6.539187000000144,M4,0.0,
4-7-2020,16-9-9.970457000000144,M10,1.0,
4-7-2020,16-20-17.250999999999976,T8,28.2117,
4-7-2020,16-20-17.656547999999976,M2,1.0,
4-7-2020,16-20-21.847617999999976,M10,0.0,
4-7-2020,16-25-7.041999999999973,T3,21.9259,
4-7-2020,16-25-8.837444999999974,D2,0.0,
4-7-2020,16-33-49.673,T8,21.6727,
4-7-2020,16-33-53.47648,M2,0.0,
4-7-2020,16-33-54.097176000000005,M7,0.0,
4-7-2020,16-33-57.159726000000006,M1,0.0,
4-7-2020,16-35-45.56100000000001,T7,28.2848,
4-7-2020,16-36-2.7456999999999994,T10,22.7382,
4-7-2020,16-36-6.298719999999999,M2,0.0,
4-7-2020,16-41-34.21300000000002,T5,24.231,
4-7-2020,16-41-36.86177000000002,T2,26.5268,
4-7-2020,16-48-49.43900000000002,T8,24.831,
4-7-2020,16-49-6.7818000000000005,M9,1.0,
4-7-2020,17-29-48.63000000000011,T6,26.209,
4-7-2020,17-29-51.22606000000011,M8,0.0,
4-7-2020,17-29-53.26693000000011,M6,0.0,
4-7-2020,17-30-15.574166000000005,D2,1.0,
4-7-2020,17-30-17.142366000000006,M9,1.0,
4-7-2020,17-30-19.201346000000008,M3,0.0,
4-7-2020,17-30-41.20564600000001,M10,1.0,
4-7-2020,17-30-42.29672600000001,M2,0.0,
4-7-2020,17-31-12.257400000000004,T2,20.1084,
4-7-2020,17-31-12.874823000000005,M6,1.0,
